id;modified;bibliographicCitation;references;institutionCode;collectionCode;basisOfRecord;materialSampleID;occurrenceID;catalogNumber;occurrenceRemarks;recordNumber;recordedBy;individualCount;organismQuantity;organismQuantityType;sex;lifeStage;occurrenceStatus;preparations;otherCatalogNumbers;associatedReferences;organismID;associatedOccurrences;eventID;samplingProtocol;sampleSizeValue;sampleSizeUnit;eventDate;eventTime;year;month;verbatimEventDate;fieldNumber;waterBody;country;stateProvince;county;locality;minimumDepthInMeters;maximumDepthInMeters;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters;coordinatePrecision;footprintWKT;identifiedBy;dateIdentified;identificationReferences;identificationRemarks;identificationQualifier;typeStatus;scientificNameID;taxonConceptID;scientificName;kingdom;phylum;class;family;genus;subgenus;specificEpithet;infraspecificEpithet;taxonRank;scientificNameAuthorship;vernacularName
urn:lsid:taxonomy.org.au:MAMM:M13730;2019-01-11T09:32:12;;;WAM;MAMM;PreservedSpecimen;;urn:lsid:taxonomy.org.au:MAMM:M13730;;;;;;1;individuals;;;present;;;;;;;;;;;;;;;;;Australia;Western Australia;;;;;;;;;;;;;;;;urn:lsid:marinespecies.org:taxname:137110;urn:lsid:biodiversity.org.au:afd.taxon:11a3cf2f-29aa-4a4b-b562-933e76deb8f8;Steno bredanensis;Animalia;Chordata;Mammalia;Delphinidae;Steno;;;;species;;Rough-toothed dolphin
urn:lsid:taxonomy.org.au:MAMM:M11373;2019-01-11T09:32:12;;;WAM;MAMM;PreservedSpecimen;;urn:lsid:taxonomy.org.au:MAMM:M11373;;;;;;1;individuals;;;present;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;urn:lsid:marinespecies.org:taxname:137110;urn:lsid:biodiversity.org.au:afd.taxon:11a3cf2f-29aa-4a4b-b562-933e76deb8f8;Steno bredanensis;Animalia;Chordata;Mammalia;Delphinidae;Steno;;;;species;;Rough-toothed dolphin
urn:lsid:taxonomy.org.au:MAMM:M11333;2019-01-11T09:32:16;;;WAM;MAMM;PreservedSpecimen;;urn:lsid:taxonomy.org.au:MAMM:M11333;;;;;;1;individuals;;;present;;;;;;;;;;;;;;;;;Australia;Western Australia;;;;;-2.076.667;115.04.00;;;POINT (115.40000 -20.76667);;;;;;;urn:lsid:marinespecies.org:taxname:137110;urn:lsid:biodiversity.org.au:afd.taxon:11a3cf2f-29aa-4a4b-b562-933e76deb8f8;Steno bredanensis;Animalia;Chordata;Mammalia;Delphinidae;Steno;;;;species;;Rough-toothed dolphin
urn:lsid:taxonomy.org.au:MAMM:M9985;2019-01-11T09:32:17;;;WAM;MAMM;PreservedSpecimen;;urn:lsid:taxonomy.org.au:MAMM:M9985;;;;;;1;individuals;;;present;;;;;;;;;;;;;;;;;Australia;Western Australia;;;;;-2.076.667;115.04.00;;;POINT (115.40000 -20.76667);;;;;;;urn:lsid:marinespecies.org:taxname:137110;urn:lsid:biodiversity.org.au:afd.taxon:11a3cf2f-29aa-4a4b-b562-933e76deb8f8;Steno bredanensis;Animalia;Chordata;Mammalia;Delphinidae;Steno;;;;species;;Rough-toothed dolphin
urn:lsid:taxonomy.org.au:MAMM:M9987;2019-01-11T09:32:44;;;WAM;MAMM;PreservedSpecimen;;urn:lsid:taxonomy.org.au:MAMM:M9987;;;;;;1;individuals;;;present;;;;;;;;;;;;;;;;;Australia;Western Australia;;;;;-2.076.667;115.04.00;;;POINT (115.40000 -20.76667);;;;;;;urn:lsid:marinespecies.org:taxname:137110;urn:lsid:biodiversity.org.au:afd.taxon:11a3cf2f-29aa-4a4b-b562-933e76deb8f8;Steno bredanensis;Animalia;Chordata;Mammalia;Delphinidae;Steno;;;;species;;Rough-toothed dolphin
urn:lsid:taxonomy.org.au:MAMM:M61188;2019-01-11T09:32:32;;;WAM;MAMM;PreservedSpecimen;;urn:lsid:taxonomy.org.au:MAMM:M61188;;;;;;1;individuals;;;present;;;;;;;;;;10/11/2008 00.11;;2008;11;;;;Australia;Western Australia;;;;;-2.633.333;11.326.667;;;POINT (113.26667 -26.33333);;;;;;;urn:lsid:marinespecies.org:taxname:231433;urn:lsid:biodiversity.org.au:afd.taxon:1f35de54-946d-44e4-ab53-2d737878710e;Tasmacetus shepherdi;Animalia;Chordata;Mammalia;Ziphiidae;Tasmacetus;;;;species;;Shepherd's beaked whale
urn:lsid:taxonomy.org.au:MAMM:M47147;2019-01-11T09:32:47;;;WAM;MAMM;PreservedSpecimen;;urn:lsid:taxonomy.org.au:MAMM:M47147;;;;;;1;individuals;;;present;;;;;;;;;;11/06/1995 23.06;;1995;6;;;;Australia;Western Australia;;;;;-3.496.667;117.35.00;;;POINT (117.35000 -34.96667);;;;;;;urn:lsid:marinespecies.org:taxname:231433;urn:lsid:biodiversity.org.au:afd.taxon:1f35de54-946d-44e4-ab53-2d737878710e;Tasmacetus shepherdi;Animalia;Chordata;Mammalia;Ziphiidae;Tasmacetus;;;;species;;Shepherd's beaked whale
urn:lsid:taxonomy.org.au:MAMM:M28128;2019-01-11T09:32:48;;;WAM;MAMM;PreservedSpecimen;;urn:lsid:taxonomy.org.au:MAMM:M28128;;;;;;1;individuals;;;present;;;;;;;;;;31/03/1985 23.03;;1985;4;;;;Australia;Northern Territory;;;;;;;;;;;;;;;;urn:lsid:marinespecies.org:taxname:137026;urn:lsid:biodiversity.org.au:afd.taxon:33b8b9b9-eca0-45ab-85d0-b3fce48a5b90;Tursiops;Animalia;Chordata;Mammalia;Delphinidae;Tursiops;;;;genus;;
urn:lsid:taxonomy.org.au:MAMM:M52395;2019-01-11T09:32:49;;;WAM;MAMM;PreservedSpecimen;;urn:lsid:taxonomy.org.au:MAMM:M52395;;;;;;1;individuals;;;present;;;;;;;;;;;;;;;;;Australia;Western Australia;;;;;-2.578.278;113.07.00;;;POINT (113.70000 -25.78278);;;;;;;urn:lsid:marinespecies.org:taxname:137026;urn:lsid:biodiversity.org.au:afd.taxon:33b8b9b9-eca0-45ab-85d0-b3fce48a5b90;Tursiops;Animalia;Chordata;Mammalia;Delphinidae;Tursiops;;;;genus;;
urn:lsid:taxonomy.org.au:MAMM:M36670;2019-01-11T09:32:27;;;WAM;MAMM;PreservedSpecimen;;urn:lsid:taxonomy.org.au:MAMM:M36670;;;;;;1;individuals;;;present;;;;;;;;;;31/08/1991 23.08;;1991;9;;;;Australia;Western Australia;;;;;-20.8;115.04.00;;;POINT (115.40000 -20.80000);;;;;;;urn:lsid:marinespecies.org:taxname:137026;urn:lsid:biodiversity.org.au:afd.taxon:33b8b9b9-eca0-45ab-85d0-b3fce48a5b90;Tursiops;Animalia;Chordata;Mammalia;Delphinidae;Tursiops;;;;genus;;
urn:lsid:taxonomy.org.au:MAMM:M40536;2019-01-11T09:32:52;;;WAM;MAMM;PreservedSpecimen;;urn:lsid:taxonomy.org.au:MAMM:M40536;;;;;;1;individuals;;;present;;;;;;;;;;30/06/1992 23.06;;1992;7;;;;Australia;Western Australia;;;;;-20.6;116.05.00;;;POINT (116.50000 -20.60000);;;;;;;urn:lsid:marinespecies.org:taxname:137026;urn:lsid:biodiversity.org.au:afd.taxon:33b8b9b9-eca0-45ab-85d0-b3fce48a5b90;Tursiops;Animalia;Chordata;Mammalia;Delphinidae;Tursiops;;;;genus;;
