id;modified;bibliographicCitation;institutionCode;collectionCode;basisOfRecord;informationWithheld;occurrenceID;catalogNumber;recordedBy;individualCount;sex;lifeStage;occurrenceStatus;eventDate;year;month;day;fieldNotes;waterBody;country;locality;minimumDepthInMeters;maximumDepthInMeters;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters;scientificNameID;scientificName;kingdom;phylum;class;order;family;genus;specificEpithet;infraspecificEpithet;scientificNameAuthorship
urn:catalog:AADC:WHALE_LOG:WL-132;14/04/2009 11.41;see http://data.aad.gov.au/metadata/records/ANARE_Whale_log;AADC;WHALE_LOG;HumanObservation;collector identities withheld;urn:catalog:AADC:WHALE_LOG:WL-132;WL-132;Crew and expeditioners on voyage;10;;;present;1997-03-09 13:15:00+00;1997;3;9;blowing/diving;Southern Ocean;Antarctica;Southern Ocean;;;-6.688.300.000;6.455.000.000;50.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137087;Balaenoptera acutorostrata;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;acutorostrata;;Laciphde,1804
urn:catalog:AADC:WHALE_LOG:WL-134;14/04/2009 11.41;see http://data.aad.gov.au/metadata/records/ANARE_Whale_log;AADC;WHALE_LOG;HumanObservation;collector identities withheld;urn:catalog:AADC:WHALE_LOG:WL-134;WL-134;Crew and expeditioners on voyage;7;;;present;1997-03-24 14:50:00+00;1997;3;24;chasing bow port side;Southern Ocean;Antarctica;Southern Ocean;;;-4.871.700.000;10.653.300.000;50.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=383563;Lagenorhynchus cruciger;Animalia;Chordata;Mammalia;Cetacea;Delphinidae;Lagenorhynchus;cruciger;;(Quoy and Gaimard,1824)
urn:catalog:AADC:WHALE_LOG:WL-138;14/04/2009 11.41;see http://data.aad.gov.au/metadata/records/ANARE_Whale_log;AADC;WHALE_LOG;HumanObservation;collector identities withheld;urn:catalog:AADC:WHALE_LOG:WL-138;WL-138;Crew and expeditioners on voyage;1;;;present;1963-01-14 09:00:00+00;1963;1;14;;Southern Ocean;Antarctica;Southern Ocean;;;-4.258.300.000;11.695.000.000;50.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137092;Megaptera novaeangliae;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Megaptera;novaeangliae;;(Borowski,1781)
urn:catalog:AADC:WHALE_LOG:WL-139;14/04/2009 11.41;see http://data.aad.gov.au/metadata/records/ANARE_Whale_log;AADC;WHALE_LOG;HumanObservation;collector identities withheld;urn:catalog:AADC:WHALE_LOG:WL-139;WL-139;Crew and expeditioners on voyage;15;;;present;1963-01-15 06:30:00+00;1963;1;15;;Southern Ocean;Antarctica;Southern Ocean;;;-4.136.700.000;11.521.700.000;50.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137088;Balaenoptera borealis;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;borealis;;Lesson,1828
urn:catalog:AADC:WHALE_LOG:WL-14;14/04/2009 11.41;see http://data.aad.gov.au/metadata/records/ANARE_Whale_log;AADC;WHALE_LOG;HumanObservation;collector identities withheld;urn:catalog:AADC:WHALE_LOG:WL-14;WL-14;Crew and expeditioners on voyage;;;;present;1995-12-03 00:10:00+00;1995;12;3;crossed just behind ship;Southern Ocean;Antarctica;Southern Ocean;;;-5.960.000.000;11.208.300.000;50.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137097;Globicephala melas;Animalia;Chordata;Mammalia;Cetacea;Delphinidae;Globicephala;melas;;Traill,1809
urn:catalog:AADC:WHALE_LOG:WL-140;14/04/2009 11.41;see http://data.aad.gov.au/metadata/records/ANARE_Whale_log;AADC;WHALE_LOG;HumanObservation;collector identities withheld;urn:catalog:AADC:WHALE_LOG:WL-140;WL-140;Crew and expeditioners on voyage;6;;;present;1963-01-21 05:10:00+00;1963;1;21;;Southern Ocean;Antarctica;Southern Ocean;;;-4.341.700.000;9.933.300.000;50.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137088;Balaenoptera borealis;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;borealis;;Lesson,1828
urn:catalog:AADC:WHALE_LOG:WL-141;14/04/2009 11.41;see http://data.aad.gov.au/metadata/records/ANARE_Whale_log;AADC;WHALE_LOG;HumanObservation;collector identities withheld;urn:catalog:AADC:WHALE_LOG:WL-141;WL-141;Crew and expeditioners on voyage;1;;;present;1963-01-21 10:00:00+00;1963;1;21;;Southern Ocean;Antarctica;Southern Ocean;;;-4.650.000.000;8.900.000.000;50.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137088;Balaenoptera borealis;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;borealis;;Lesson,1828
urn:catalog:AADC:WHALE_LOG:WL-142;14/04/2009 11.41;see http://data.aad.gov.au/metadata/records/ANARE_Whale_log;AADC;WHALE_LOG;HumanObservation;collector identities withheld;urn:catalog:AADC:WHALE_LOG:WL-142;WL-142;Crew and expeditioners on voyage;1;;;present;1963-01-30 05:00:00+00;1963;1;30;;Southern Ocean;Antarctica;Southern Ocean;;;-5.433.300.000;7.275.000.000;50.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137088;Balaenoptera borealis;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;borealis;;Lesson,1828
urn:catalog:AADC:WHALE_LOG:WL-143;14/04/2009 11.41;see http://data.aad.gov.au/metadata/records/ANARE_Whale_log;AADC;WHALE_LOG;HumanObservation;collector identities withheld;urn:catalog:AADC:WHALE_LOG:WL-143;WL-143;Crew and expeditioners on voyage;1;;;present;1963-01-31 05:00:00+00;1963;1;31;;Southern Ocean;Antarctica;Southern Ocean;;;-5.708.300.000;7.080.000.000;50.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137091;Balaenoptera physalus;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;physalus;;Linnaeus,1758
urn:catalog:AADC:WHALE_LOG:WL-144;14/04/2009 11.41;see http://data.aad.gov.au/metadata/records/ANARE_Whale_log;AADC;WHALE_LOG;HumanObservation;collector identities withheld;urn:catalog:AADC:WHALE_LOG:WL-144;WL-144;Crew and expeditioners on voyage;6;;;present;1963-01-31 08:00:00+00;1963;1;31;;Southern Ocean;Antarctica;Southern Ocean;;;-5.880.000.000;6.975.000.000;50.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137091;Balaenoptera physalus;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;physalus;;Linnaeus,1758
