id;modified;bibliographicCitation;institutionCode;collectionCode;basisOfRecord;informationWithheld;occurrenceID;catalogNumber;recordedBy;individualCount;sex;lifeStage;occurrenceStatus;eventDate;year;month;day;fieldNotes;waterBody;country;locality;minimumDepthInMeters;maximumDepthInMeters;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters;scientificNameID;scientificName;kingdom;phylum;class;order;family;genus;specificEpithet;infraspecificEpithet;scientificNameAuthorship
urn:catalog:AADC:BANZARE:BANZARE-13;13/01/2009 16.40;see http://data.aad.gov.au/metadata/records/ASAC_140;AADC;BANZARE;HumanObservation;collector identities withheld;urn:catalog:AADC:BANZARE:BANZARE-13;BANZARE-13;BANZARE Expedition crew;;;;present;1929-12-17 18:30:00+00;1929;12;17;several;Southern Ocean;Antarctica;Southern Ocean;;;-6.439.500.000;7.711.900.000;1.000.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137090;Balaenoptera musculus;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;musculus;;(Linnaeus,1758)
urn:catalog:AADC:BANZARE:BANZARE-130;13/01/2009 16.41;see http://data.aad.gov.au/metadata/records/ASAC_140;AADC;BANZARE;HumanObservation;collector identities withheld;urn:catalog:AADC:BANZARE:BANZARE-130;BANZARE-130;BANZARE Expedition crew;1;;;present;1931-01-31 09:45:00+00;1931;1;31;;Southern Ocean;Antarctica;Southern Ocean;;;-6.424.200.000;9.611.500.000;1.000.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137090;Balaenoptera musculus;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;musculus;;(Linnaeus,1758)
urn:catalog:AADC:BANZARE:BANZARE-131;13/01/2009 16.41;see http://data.aad.gov.au/metadata/records/ASAC_140;AADC;BANZARE;HumanObservation;collector identities withheld;urn:catalog:AADC:BANZARE:BANZARE-131;BANZARE-131;BANZARE Expedition crew;1;;;present;1931-01-31 10:00:00+00;1931;1;31;;Southern Ocean;Antarctica;Southern Ocean;;;-6.424.900.000;9.611.700.000;1.000.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137090;Balaenoptera musculus;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;musculus;;(Linnaeus,1758)
urn:catalog:AADC:BANZARE:BANZARE-132;13/01/2009 16.41;see http://data.aad.gov.au/metadata/records/ASAC_140;AADC;BANZARE;HumanObservation;collector identities withheld;urn:catalog:AADC:BANZARE:BANZARE-132;BANZARE-132;BANZARE Expedition crew;1;;;present;1931-01-31 12:00:00+00;1931;1;31;;Southern Ocean;Antarctica;Southern Ocean;;;-6.430.000.000;9.613.300.000;1.000.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=231405;Balaenoptera bonaerensis;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;bonaerensis;;Burmeister, 1867
urn:catalog:AADC:BANZARE:BANZARE-133;13/01/2009 16.41;see http://data.aad.gov.au/metadata/records/ASAC_140;AADC;BANZARE;HumanObservation;collector identities withheld;urn:catalog:AADC:BANZARE:BANZARE-133;BANZARE-133;BANZARE Expedition crew;6;;;present;1931-01-31 12:00:00+00;1931;1;31;;Southern Ocean;Antarctica;Southern Ocean;;;-6.430.000.000;9.613.300.000;1.000.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137090;Balaenoptera musculus;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;musculus;;(Linnaeus,1758)
urn:catalog:AADC:BANZARE:BANZARE-134;13/01/2009 16.41;see http://data.aad.gov.au/metadata/records/ASAC_140;AADC;BANZARE;HumanObservation;collector identities withheld;urn:catalog:AADC:BANZARE:BANZARE-134;BANZARE-134;BANZARE Expedition crew;2;;;present;1931-01-31 15:30:00+00;1931;1;31;;Southern Ocean;Antarctica;Southern Ocean;;;-6.438.300.000;9.555.500.000;1.000.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137090;Balaenoptera musculus;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;musculus;;(Linnaeus,1758)
urn:catalog:AADC:BANZARE:BANZARE-135;13/01/2009 16.41;see http://data.aad.gov.au/metadata/records/ASAC_140;AADC;BANZARE;HumanObservation;collector identities withheld;urn:catalog:AADC:BANZARE:BANZARE-135;BANZARE-135;BANZARE Expedition crew;1;;;present;1931-02-04 10:00:00+00;1931;2;4;oin ice hole;Southern Ocean;Antarctica;Southern Ocean;;;-6.544.700.000;8.865.100.000;1.000.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=231405;Balaenoptera bonaerensis;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;bonaerensis;;Burmeister, 1867
urn:catalog:AADC:BANZARE:BANZARE-136;13/01/2009 16.41;see http://data.aad.gov.au/metadata/records/ASAC_140;AADC;BANZARE;HumanObservation;collector identities withheld;urn:catalog:AADC:BANZARE:BANZARE-136;BANZARE-136;BANZARE Expedition crew;2;;;present;1931-02-04 21:00:00+00;1931;2;4;;Southern Ocean;Antarctica;Southern Ocean;;;-6.517.100.000;8.787.500.000;1.000.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137091;Balaenoptera physalus;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;physalus;;Linnaeus,1758
urn:catalog:AADC:BANZARE:BANZARE-137;13/01/2009 16.41;see http://data.aad.gov.au/metadata/records/ASAC_140;AADC;BANZARE;HumanObservation;collector identities withheld;urn:catalog:AADC:BANZARE:BANZARE-137;BANZARE-137;BANZARE Expedition crew;5;;;present;1931-02-15 12:00:00+00;1931;2;15;;Southern Ocean;Antarctica;Southern Ocean;;;-6.670.000.000;6.176.700.000;1.000.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137102;Orcinus orca;Animalia;Chordata;Mammalia;Cetacea;Delphinidae;Orcinus;orca;;Linnaeus,1758
urn:catalog:AADC:BANZARE:BANZARE-138;13/01/2009 16.41;see http://data.aad.gov.au/metadata/records/ASAC_140;AADC;BANZARE;HumanObservation;collector identities withheld;urn:catalog:AADC:BANZARE:BANZARE-138;BANZARE-138;BANZARE Expedition crew;12;;;present;1931-02-16 11:45:00+00;1931;2;16;;Southern Ocean;Antarctica;Southern Ocean;;;-6.676.600.000;6.199.800.000;1.000.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137102;Orcinus orca;Animalia;Chordata;Mammalia;Cetacea;Delphinidae;Orcinus;orca;;Linnaeus,1758
urn:catalog:AADC:BANZARE:BANZARE-139;13/01/2009 16.41;see http://data.aad.gov.au/metadata/records/ASAC_140;AADC;BANZARE;HumanObservation;collector identities withheld;urn:catalog:AADC:BANZARE:BANZARE-139;BANZARE-139;BANZARE Expedition crew;4;;;present;1931-02-20 08:30:00+00;1931;2;20;;Southern Ocean;Antarctica;Southern Ocean;;;-6.503.400.000;6.243.800.000;1.000.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137102;Orcinus orca;Animalia;Chordata;Mammalia;Cetacea;Delphinidae;Orcinus;orca;;Linnaeus,1758
urn:catalog:AADC:BANZARE:BANZARE-14;13/01/2009 16.40;see http://data.aad.gov.au/metadata/records/ASAC_140;AADC;BANZARE;HumanObservation;collector identities withheld;urn:catalog:AADC:BANZARE:BANZARE-14;BANZARE-14;BANZARE Expedition crew;1;;;present;1929-12-17 19:00:00+00;1929;12;17;;Southern Ocean;Antarctica;Southern Ocean;;;-6.438.500.000;7.707.600.000;1.000.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137090;Balaenoptera musculus;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;musculus;;(Linnaeus,1758)
urn:catalog:AADC:BANZARE:BANZARE-140;13/01/2009 16.41;see http://data.aad.gov.au/metadata/records/ASAC_140;AADC;BANZARE;HumanObservation;collector identities withheld;urn:catalog:AADC:BANZARE:BANZARE-140;BANZARE-140;BANZARE Expedition crew;6;;;present;1931-02-20 10:00:00+00;1931;2;20;;Southern Ocean;Antarctica;Southern Ocean;;;-6.492.600.000;6.249.300.000;1.000.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137090;Balaenoptera musculus;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;musculus;;(Linnaeus,1758)
urn:catalog:AADC:BANZARE:BANZARE-141;13/01/2009 16.41;see http://data.aad.gov.au/metadata/records/ASAC_140;AADC;BANZARE;HumanObservation;collector identities withheld;urn:catalog:AADC:BANZARE:BANZARE-141;BANZARE-141;BANZARE Expedition crew;2;;;present;1931-02-24 10:00:00+00;1931;2;24;;Southern Ocean;Antarctica;Southern Ocean;;;-6.178.500.000;6.945.000.000;1.000.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137090;Balaenoptera musculus;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;musculus;;(Linnaeus,1758)
urn:catalog:AADC:BANZARE:BANZARE-142;13/01/2009 16.41;see http://data.aad.gov.au/metadata/records/ASAC_140;AADC;BANZARE;HumanObservation;collector identities withheld;urn:catalog:AADC:BANZARE:BANZARE-142;BANZARE-142;BANZARE Expedition crew;1;;;present;1931-02-25 12:00:00+00;1931;2;25;;Southern Ocean;Antarctica;Southern Ocean;;;-6.090.000.000;7.463.300.000;1.000.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137102;Orcinus orca;Animalia;Chordata;Mammalia;Cetacea;Delphinidae;Orcinus;orca;;Linnaeus,1758
urn:catalog:AADC:BANZARE:BANZARE-143;13/01/2009 16.41;see http://data.aad.gov.au/metadata/records/ASAC_140;AADC;BANZARE;HumanObservation;collector identities withheld;urn:catalog:AADC:BANZARE:BANZARE-143;BANZARE-143;BANZARE Expedition crew;2;;;present;1931-02-25 10:00:00+00;1931;2;25;;Southern Ocean;Antarctica;Southern Ocean;;;-6.097.200.000;7.420.100.000;1.000.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137091;Balaenoptera physalus;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;physalus;;Linnaeus,1758
urn:catalog:AADC:BANZARE:BANZARE-144;13/01/2009 16.41;see http://data.aad.gov.au/metadata/records/ASAC_140;AADC;BANZARE;HumanObservation;collector identities withheld;urn:catalog:AADC:BANZARE:BANZARE-144;BANZARE-144;BANZARE Expedition crew;1;;;present;1931-03-10 12:00:00+00;1931;3;10;;Southern Ocean;Antarctica;Southern Ocean;;;-4.850.000.000;11.685.000.000;1.000.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137091;Balaenoptera physalus;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;physalus;;Linnaeus,1758
