id;modified;bibliographicCitation;references;institutionCode;collectionCode;basisOfRecord;materialSampleID;occurrenceID;catalogNumber;occurrenceRemarks;recordNumber;recordedBy;individualCount;organismQuantity;organismQuantityType;sex;lifeStage;occurrenceStatus;preparations;otherCatalogNumbers;associatedReferences;organismID;associatedOccurrences;eventID;samplingProtocol;sampleSizeValue;sampleSizeUnit;eventDate;eventTime;year;month;verbatimEventDate;fieldNumber;waterBody;country;stateProvince;county;locality;minimumDepthInMeters;maximumDepthInMeters;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters;coordinatePrecision;footprintWKT;identifiedBy;dateIdentified;identificationReferences;identificationRemarks;identificationQualifier;typeStatus;scientificNameID;taxonConceptID;scientificName;kingdom;phylum;class;family;genus;subgenus;specificEpithet;infraspecificEpithet;taxonRank;scientificNameAuthorship;vernacularName
36126;2019-12-19T09:16:13;;;;;HumanObservation;;36126;;;;;;1;individual;Male;Unknown;present;;;;;;;;;;30/06/1953;;;;;;;Australia;;;;0;0;-42;175;10000;0,622222222;POINT (175.00000 -42.00000);;;;;;;urn:lsid:marinespecies.org:taxname:137092;;Megaptera novaeangliae;Animalia;;;;;;;;Species;;Humpback
36127;2019-12-19T09:16:14;;;;;HumanObservation;;36127;;;;;;1;individual;Male;Unknown;present;;;;;;;;;;30/06/1953;;;;;;;Australia;;;;0;0;-42;175;10000;0,622222222;POINT (175.00000 -42.00000);;;;;;;urn:lsid:marinespecies.org:taxname:137092;;Megaptera novaeangliae;Animalia;;;;;;;;Species;;Humpback
36128;2019-12-19T09:16:14;;;;;HumanObservation;;36128;;;;;;1;individual;Male;Unknown;present;;;;;;;;;;01/07/1953;;;;;;;Australia;;;;0;0;-42;175;10000;0,622222222;POINT (175.00000 -42.00000);;;;;;;urn:lsid:marinespecies.org:taxname:137092;;Megaptera novaeangliae;Animalia;;;;;;;;Species;;Humpback
36129;2019-12-19T09:16:14;;;;;HumanObservation;;36129;;;;;;1;individual;Male;Unknown;present;;;;;;;;;;01/07/1953;;;;;;;Australia;;;;0;0;-42;175;10000;0,622222222;POINT (175.00000 -42.00000);;;;;;;urn:lsid:marinespecies.org:taxname:137092;;Megaptera novaeangliae;Animalia;;;;;;;;Species;;Humpback
36130;2019-12-19T09:16:14;;;;;HumanObservation;;36130;;;;;;1;individual;Male;Unknown;present;;;;;;;;;;01/07/1953;;;;;;;Australia;;;;0;0;-42;175;10000;0,622222222;POINT (175.00000 -42.00000);;;;;;;urn:lsid:marinespecies.org:taxname:137092;;Megaptera novaeangliae;Animalia;;;;;;;;Species;;Humpback
36131;2019-12-19T09:16:14;;;;;HumanObservation;;36131;;;;;;1;individual;Male;Unknown;present;;;;;;;;;;02/07/1953;;;;;;;Australia;;;;0;0;-42;175;10000;0,622222222;POINT (175.00000 -42.00000);;;;;;;urn:lsid:marinespecies.org:taxname:137092;;Megaptera novaeangliae;Animalia;;;;;;;;Species;;Humpback
36132;2019-12-19T09:16:14;;;;;HumanObservation;;36132;;;;;;1;individual;Male;Unknown;present;;;;;;;;;;02/07/1953;;;;;;;Australia;;;;0;0;-42;175;10000;0,622222222;POINT (175.00000 -42.00000);;;;;;;urn:lsid:marinespecies.org:taxname:137092;;Megaptera novaeangliae;Animalia;;;;;;;;Species;;Humpback
36133;2019-12-19T09:16:15;;;;;HumanObservation;;36133;;;;;;1;individual;Male;Unknown;present;;;;;;;;;;02/07/1953;;;;;;;Australia;;;;0;0;-42;175;10000;0,622222222;POINT (175.00000 -42.00000);;;;;;;urn:lsid:marinespecies.org:taxname:137092;;Megaptera novaeangliae;Animalia;;;;;;;;Species;;Humpback
36134;2019-12-19T09:16:15;;;;;HumanObservation;;36134;;;;;;1;individual;Male;Unknown;present;;;;;;;;;;03/07/1953;;;;;;;Australia;;;;0;0;-42;175;10000;0,622222222;POINT (175.00000 -42.00000);;;;;;;urn:lsid:marinespecies.org:taxname:137092;;Megaptera novaeangliae;Animalia;;;;;;;;Species;;Humpback
36135;2019-12-19T09:16:15;;;;;HumanObservation;;36135;;;;;;1;individual;Female;Unknown;present;;;;;;;;;;03/07/1953;;;;;;;Australia;;;;0;0;-42;175;10000;0,622222222;POINT (175.00000 -42.00000);;;;;;;urn:lsid:marinespecies.org:taxname:137092;;Megaptera novaeangliae;Animalia;;;;;;;;Species;;Humpback
