id;modified;bibliographicCitation;institutionCode;collectionCode;basisOfRecord;informationWithheld;occurrenceID;catalogNumber;recordedBy;individualCount;sex;lifeStage;occurrenceStatus;eventDate;year;month;day;fieldNotes;waterBody;country;locality;minimumDepthInMeters;maximumDepthInMeters;decimalLatitude;decimalLongitude;coordinateUncertaintyInMeters;scientificNameID;scientificName;kingdom;phylum;class;order;family;genus;specificEpithet;infraspecificEpithet;scientificNameAuthorship
urn:catalog:AADC:WC:3560;09/06/2004 00.00;see http://data.aad.gov.au/metadata/records/IWC_Whale_catch;AADC;WC;HumanObservation;collector identities withheld;urn:catalog:AADC:WC:3560;3560;;2;;;present;1935-01-01 00:00:00+00;1935;1;1;;Southern Ocean;Antarctica;Southern Ocean;;;-6.350.000.000;9.050.000.000;5.000.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137090;Balaenoptera musculus;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;musculus;;(Linnaeus,1758)
urn:catalog:AADC:WC:3561;09/06/2004 00.00;see http://data.aad.gov.au/metadata/records/IWC_Whale_catch;AADC;WC;HumanObservation;collector identities withheld;urn:catalog:AADC:WC:3561;3561;;6;;;present;1935-01-01 00:00:00+00;1935;1;1;;Southern Ocean;Antarctica;Southern Ocean;;;-6.350.000.000;9.150.000.000;5.000.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137090;Balaenoptera musculus;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;musculus;;(Linnaeus,1758)
urn:catalog:AADC:WC:3562;09/06/2004 00.00;see http://data.aad.gov.au/metadata/records/IWC_Whale_catch;AADC;WC;HumanObservation;collector identities withheld;urn:catalog:AADC:WC:3562;3562;;23;;;present;1935-01-01 00:00:00+00;1935;1;1;;Southern Ocean;Antarctica;Southern Ocean;;;-6.450.000.000;8.050.000.000;5.000.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137090;Balaenoptera musculus;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;musculus;;(Linnaeus,1758)
urn:catalog:AADC:WC:3563;09/06/2004 00.00;see http://data.aad.gov.au/metadata/records/IWC_Whale_catch;AADC;WC;HumanObservation;collector identities withheld;urn:catalog:AADC:WC:3563;3563;;22;;;present;1935-01-01 00:00:00+00;1935;1;1;;Southern Ocean;Antarctica;Southern Ocean;;;-6.450.000.000;8.150.000.000;5.000.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137090;Balaenoptera musculus;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;musculus;;(Linnaeus,1758)
urn:catalog:AADC:WC:3564;09/06/2004 00.00;see http://data.aad.gov.au/metadata/records/IWC_Whale_catch;AADC;WC;HumanObservation;collector identities withheld;urn:catalog:AADC:WC:3564;3564;;18;;;present;1935-01-01 00:00:00+00;1935;1;1;;Southern Ocean;Antarctica;Southern Ocean;;;-6.450.000.000;8.250.000.000;5.000.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137090;Balaenoptera musculus;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;musculus;;(Linnaeus,1758)
urn:catalog:AADC:WC:3565;09/06/2004 00.00;see http://data.aad.gov.au/metadata/records/IWC_Whale_catch;AADC;WC;HumanObservation;collector identities withheld;urn:catalog:AADC:WC:3565;3565;;5;;;present;1935-01-01 00:00:00+00;1935;1;1;;Southern Ocean;Antarctica;Southern Ocean;;;-6.450.000.000;8.350.000.000;5.000.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137090;Balaenoptera musculus;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;musculus;;(Linnaeus,1758)
urn:catalog:AADC:WC:3566;09/06/2004 00.00;see http://data.aad.gov.au/metadata/records/IWC_Whale_catch;AADC;WC;HumanObservation;collector identities withheld;urn:catalog:AADC:WC:3566;3566;;10;;;present;1935-01-01 00:00:00+00;1935;1;1;;Southern Ocean;Antarctica;Southern Ocean;;;-6.450.000.000;8.450.000.000;5.000.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137090;Balaenoptera musculus;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;musculus;;(Linnaeus,1758)
urn:catalog:AADC:WC:3567;09/06/2004 00.00;see http://data.aad.gov.au/metadata/records/IWC_Whale_catch;AADC;WC;HumanObservation;collector identities withheld;urn:catalog:AADC:WC:3567;3567;;15;;;present;1935-01-01 00:00:00+00;1935;1;1;;Southern Ocean;Antarctica;Southern Ocean;;;-6.450.000.000;8.650.000.000;5.000.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137090;Balaenoptera musculus;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;musculus;;(Linnaeus,1758)
urn:catalog:AADC:WC:3568;09/06/2004 00.00;see http://data.aad.gov.au/metadata/records/IWC_Whale_catch;AADC;WC;HumanObservation;collector identities withheld;urn:catalog:AADC:WC:3568;3568;;10;;;present;1935-01-01 00:00:00+00;1935;1;1;;Southern Ocean;Antarctica;Southern Ocean;;;-6.450.000.000;8.750.000.000;5.000.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137090;Balaenoptera musculus;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;musculus;;(Linnaeus,1758)
urn:catalog:AADC:WC:3569;09/06/2004 00.00;see http://data.aad.gov.au/metadata/records/IWC_Whale_catch;AADC;WC;HumanObservation;collector identities withheld;urn:catalog:AADC:WC:3569;3569;;33;;;present;1935-01-01 00:00:00+00;1935;1;1;;Southern Ocean;Antarctica;Southern Ocean;;;-6.450.000.000;8.850.000.000;5.000.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137090;Balaenoptera musculus;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;musculus;;(Linnaeus,1758)
urn:catalog:AADC:WC:357;09/06/2004 00.00;see http://data.aad.gov.au/metadata/records/IWC_Whale_catch;AADC;WC;HumanObservation;collector identities withheld;urn:catalog:AADC:WC:357;357;;2;;;present;1933-01-01 00:00:00+00;1933;1;1;;Southern Ocean;Antarctica;Southern Ocean;;;-6.550.000.000;6.750.000.000;5.000.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137091;Balaenoptera physalus;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;physalus;;Linnaeus,1758
urn:catalog:AADC:WC:3570;09/06/2004 00.00;see http://data.aad.gov.au/metadata/records/IWC_Whale_catch;AADC;WC;HumanObservation;collector identities withheld;urn:catalog:AADC:WC:3570;3570;;26;;;present;1935-01-01 00:00:00+00;1935;1;1;;Southern Ocean;Antarctica;Southern Ocean;;;-6.450.000.000;8.950.000.000;5.000.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137090;Balaenoptera musculus;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;musculus;;(Linnaeus,1758)
urn:catalog:AADC:WC:3571;09/06/2004 00.00;see http://data.aad.gov.au/metadata/records/IWC_Whale_catch;AADC;WC;HumanObservation;collector identities withheld;urn:catalog:AADC:WC:3571;3571;;10;;;present;1935-01-01 00:00:00+00;1935;1;1;;Southern Ocean;Antarctica;Southern Ocean;;;-6.550.000.000;8.050.000.000;5.000.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137090;Balaenoptera musculus;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;musculus;;(Linnaeus,1758)
urn:catalog:AADC:WC:3572;09/06/2004 00.00;see http://data.aad.gov.au/metadata/records/IWC_Whale_catch;AADC;WC;HumanObservation;collector identities withheld;urn:catalog:AADC:WC:3572;3572;;4;;;present;1935-01-01 00:00:00+00;1935;1;1;;Southern Ocean;Antarctica;Southern Ocean;;;-6.550.000.000;8.150.000.000;5.000.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137090;Balaenoptera musculus;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;musculus;;(Linnaeus,1758)
urn:catalog:AADC:WC:3573;09/06/2004 00.00;see http://data.aad.gov.au/metadata/records/IWC_Whale_catch;AADC;WC;HumanObservation;collector identities withheld;urn:catalog:AADC:WC:3573;3573;;40;;;present;1936-01-01 00:00:00+00;1936;1;1;;Southern Ocean;Antarctica;Southern Ocean;;;-5.750.000.000;9.050.000.000;5.000.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137090;Balaenoptera musculus;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;musculus;;(Linnaeus,1758)
urn:catalog:AADC:WC:3574;09/06/2004 00.00;see http://data.aad.gov.au/metadata/records/IWC_Whale_catch;AADC;WC;HumanObservation;collector identities withheld;urn:catalog:AADC:WC:3574;3574;;7;;;present;1936-01-01 00:00:00+00;1936;1;1;;Southern Ocean;Antarctica;Southern Ocean;;;-5.750.000.000;9.150.000.000;5.000.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137090;Balaenoptera musculus;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;musculus;;(Linnaeus,1758)
urn:catalog:AADC:WC:3575;09/06/2004 00.00;see http://data.aad.gov.au/metadata/records/IWC_Whale_catch;AADC;WC;HumanObservation;collector identities withheld;urn:catalog:AADC:WC:3575;3575;;11;;;present;1936-01-01 00:00:00+00;1936;1;1;;Southern Ocean;Antarctica;Southern Ocean;;;-5.850.000.000;8.650.000.000;5.000.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137090;Balaenoptera musculus;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;musculus;;(Linnaeus,1758)
urn:catalog:AADC:WC:3576;09/06/2004 00.00;see http://data.aad.gov.au/metadata/records/IWC_Whale_catch;AADC;WC;HumanObservation;collector identities withheld;urn:catalog:AADC:WC:3576;3576;;127;;;present;1936-01-01 00:00:00+00;1936;1;1;;Southern Ocean;Antarctica;Southern Ocean;;;-5.850.000.000;8.750.000.000;5.000.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137090;Balaenoptera musculus;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;musculus;;(Linnaeus,1758)
urn:catalog:AADC:WC:3577;09/06/2004 00.00;see http://data.aad.gov.au/metadata/records/IWC_Whale_catch;AADC;WC;HumanObservation;collector identities withheld;urn:catalog:AADC:WC:3577;3577;;36;;;present;1936-01-01 00:00:00+00;1936;1;1;;Southern Ocean;Antarctica;Southern Ocean;;;-5.850.000.000;8.850.000.000;5.000.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137090;Balaenoptera musculus;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;musculus;;(Linnaeus,1758)
urn:catalog:AADC:WC:3578;09/06/2004 00.00;see http://data.aad.gov.au/metadata/records/IWC_Whale_catch;AADC;WC;HumanObservation;collector identities withheld;urn:catalog:AADC:WC:3578;3578;;24;;;present;1936-01-01 00:00:00+00;1936;1;1;;Southern Ocean;Antarctica;Southern Ocean;;;-5.850.000.000;8.950.000.000;5.000.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137090;Balaenoptera musculus;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;musculus;;(Linnaeus,1758)
urn:catalog:AADC:WC:3579;09/06/2004 00.00;see http://data.aad.gov.au/metadata/records/IWC_Whale_catch;AADC;WC;HumanObservation;collector identities withheld;urn:catalog:AADC:WC:3579;3579;;62;;;present;1936-01-01 00:00:00+00;1936;1;1;;Southern Ocean;Antarctica;Southern Ocean;;;-5.850.000.000;9.050.000.000;5.000.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137090;Balaenoptera musculus;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;musculus;;(Linnaeus,1758)
urn:catalog:AADC:WC:358;09/06/2004 00.00;see http://data.aad.gov.au/metadata/records/IWC_Whale_catch;AADC;WC;HumanObservation;collector identities withheld;urn:catalog:AADC:WC:358;358;;1;;;present;1933-01-01 00:00:00+00;1933;1;1;;Southern Ocean;Antarctica;Southern Ocean;;;-6.550.000.000;7.250.000.000;5.000.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137091;Balaenoptera physalus;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;physalus;;Linnaeus,1758
urn:catalog:AADC:WC:3580;09/06/2004 00.00;see http://data.aad.gov.au/metadata/records/IWC_Whale_catch;AADC;WC;HumanObservation;collector identities withheld;urn:catalog:AADC:WC:3580;3580;;104;;;present;1936-01-01 00:00:00+00;1936;1;1;;Southern Ocean;Antarctica;Southern Ocean;;;-5.850.000.000;9.150.000.000;5.000.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137090;Balaenoptera musculus;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;musculus;;(Linnaeus,1758)
urn:catalog:AADC:WC:3581;09/06/2004 00.00;see http://data.aad.gov.au/metadata/records/IWC_Whale_catch;AADC;WC;HumanObservation;collector identities withheld;urn:catalog:AADC:WC:3581;3581;;4;;;present;1936-01-01 00:00:00+00;1936;1;1;;Southern Ocean;Antarctica;Southern Ocean;;;-5.850.000.000;9.250.000.000;5.000.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137090;Balaenoptera musculus;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;musculus;;(Linnaeus,1758)
urn:catalog:AADC:WC:3582;09/06/2004 00.00;see http://data.aad.gov.au/metadata/records/IWC_Whale_catch;AADC;WC;HumanObservation;collector identities withheld;urn:catalog:AADC:WC:3582;3582;;3;;;present;1936-01-01 00:00:00+00;1936;1;1;;Southern Ocean;Antarctica;Southern Ocean;;;-5.850.000.000;9.350.000.000;5.000.000.000.000;http://www.marinespecies.org/aphia.php?p=taxdetails&id=137090;Balaenoptera musculus;Animalia;Chordata;Mammalia;Cetacea;Balaenopteridae;Balaenoptera;musculus;;(Linnaeus,1758)
