# Mito_number, Area of Mitochondria
1.220000000000000000e+02,6.779037748614250449e+04
1.230000000000000000e+02,2.146101220460975019e+05
1.240000000000000000e+02,1.399296389556647773e+04
1.250000000000000000e+02,1.605864545790158263e+04
1.260000000000000000e+02,2.359681215551845889e+04
1.300000000000000000e+02,1.663810001499336067e+04
1.310000000000000000e+02,3.542317928328050766e+04
1.320000000000000000e+02,1.009246112365066074e+05
1.330000000000000000e+02,2.762700426783859075e+04
1.350000000000000000e+02,2.194794003541769052e+04
1.360000000000000000e+02,5.751463551413604000e+04
1.370000000000000000e+02,5.929084495873543347e+03
1.380000000000000000e+02,4.221886171224743885e+04
1.390000000000000000e+02,4.268254389291928237e+04
1.400000000000000000e+02,4.006456125639014499e+04
1.410000000000000000e+02,3.225853709981845896e+04
1.420000000000000000e+02,2.534789442215752206e+04
1.430000000000000000e+02,6.774842427900968687e+03
1.440000000000000000e+02,6.811426821412031131e+04
1.450000000000000000e+02,1.060190374456009704e+04
1.460000000000000000e+02,1.739083555945794797e+04
1.470000000000000000e+02,4.541634425723938330e+04
1.480000000000000000e+02,1.759220337389393171e+04
1.490000000000000000e+02,7.249559691520185152e+04
1.500000000000000000e+02,2.106918901612928312e+04
1.510000000000000000e+02,4.629288170290652488e+03
1.520000000000000000e+02,2.315040562073231195e+04
1.530000000000000000e+02,1.883332528701946139e+05
1.540000000000000000e+02,1.377848702914332171e+04
1.560000000000000000e+02,2.403008883409371265e+04
1.570000000000000000e+02,1.963635933961036790e+04
1.580000000000000000e+02,3.994108919753093505e+04
1.590000000000000000e+02,8.519462199923651497e+03
1.600000000000000000e+02,1.951832660923252115e+04
1.620000000000000000e+02,5.242129740093652799e+03
1.630000000000000000e+02,5.674864422436889436e+04
1.640000000000000000e+02,2.620629265808085256e+04
1.660000000000000000e+02,6.568733581847114692e+03
1.670000000000000000e+02,1.336803050290805368e+04
1.680000000000000000e+02,7.727734598680752970e+04
1.690000000000000000e+02,3.018305015380260011e+04
1.700000000000000000e+02,1.274885863582689490e+04
1.720000000000000000e+02,6.428290830985394678e+03
1.730000000000000000e+02,1.319753746258524770e+05
1.740000000000000000e+02,2.247753431445035312e+04
1.750000000000000000e+02,6.221882366763001482e+04
1.770000000000000000e+02,3.092981952048701828e+02
1.780000000000000000e+02,2.123525973126176177e+04
1.790000000000000000e+02,3.098057336734628552e+04
1.800000000000000000e+02,3.506884554460202344e+04
1.810000000000000000e+02,9.537689759806716756e+04
1.820000000000000000e+02,4.383955766168593982e+03
1.850000000000000000e+02,3.483143087365965584e+03
1.860000000000000000e+02,6.937155806474167912e+04
1.870000000000000000e+02,2.723059448410311597e+04
1.880000000000000000e+02,3.039833771789594903e+04
1.900000000000000000e+02,1.165194689371417326e+03
1.910000000000000000e+02,3.923572124913432344e+04
1.950000000000000000e+02,5.605248316508898370e+02
1.980000000000000000e+02,3.422911321246445368e+03
2.000000000000000000e+02,1.694382521043470842e+04
2.010000000000000000e+02,2.012159502307311413e+04
2.020000000000000000e+02,2.481120941863810731e+04
2.030000000000000000e+02,2.555730216179931813e+04
2.040000000000000000e+02,1.290883375459221861e+04
2.050000000000000000e+02,3.119031077620755605e+04
2.060000000000000000e+02,2.336956932419807708e+04
2.080000000000000000e+02,2.077044527278046735e+04
2.090000000000000000e+02,3.060976093334034886e+04
2.100000000000000000e+02,3.130352223104027144e+04
2.110000000000000000e+02,8.364342696410430653e+04
2.120000000000000000e+02,2.108453425024864191e+04
2.130000000000000000e+02,1.751124423067100724e+04
2.150000000000000000e+02,2.811871529183941334e+02
2.170000000000000000e+02,3.754278868982021777e+03
2.200000000000000000e+02,1.426965139965016351e+04
2.230000000000000000e+02,6.611044218654744327e+03
2.240000000000000000e+02,3.077365986026128303e+04
2.250000000000000000e+02,4.634204734440798347e+04
2.260000000000000000e+02,2.467011024980253205e+04
2.280000000000000000e+02,2.482563522653758992e+04
2.290000000000000000e+02,2.116240918607688945e+04
2.300000000000000000e+02,2.970798434588380769e+04
2.310000000000000000e+02,1.322454646925031375e+04
2.320000000000000000e+02,9.541914225187556440e+03
2.330000000000000000e+02,6.196707661396631011e+04
2.340000000000000000e+02,1.167569401717417786e+05
2.350000000000000000e+02,1.631458832314937172e+04
2.360000000000000000e+02,1.023232126824295992e+05
2.380000000000000000e+02,2.402816838442103631e+02
2.400000000000000000e+02,9.167511724009738828e+03
2.420000000000000000e+02,3.861666499001074953e+03
2.460000000000000000e+02,3.311526512253259170e+03
2.470000000000000000e+02,6.541642719983393363e+03
2.490000000000000000e+02,3.331286965467693517e+04
2.510000000000000000e+02,6.293553127267178752e+03
2.520000000000000000e+02,1.970010512628004653e+04
2.530000000000000000e+02,1.007675260015664389e+04
2.540000000000000000e+02,3.508768009951883869e+04
2.550000000000000000e+02,1.654933213941927534e+04
2.560000000000000000e+02,1.159302335267809103e+05
2.570000000000000000e+02,4.470689793225389440e+04
2.580000000000000000e+02,3.316716017460528383e+04
2.600000000000000000e+02,6.213920455665299869e+02
2.610000000000000000e+02,1.418428959095918399e+05
2.620000000000000000e+02,2.706206481576214719e+04
2.640000000000000000e+02,3.402225888513983227e+04
2.650000000000000000e+02,1.480088042543827760e+04
2.660000000000000000e+02,5.115046682129889086e+04
2.670000000000000000e+02,3.527825619229309086e+04
2.680000000000000000e+02,1.134722270185036359e+04
2.690000000000000000e+02,5.316485987976350589e+04
2.700000000000000000e+02,8.918297309748732005e+03
2.710000000000000000e+02,2.345630959561127020e+04
2.720000000000000000e+02,1.434645270676065411e+04
2.730000000000000000e+02,1.895450141822635851e+04
2.740000000000000000e+02,8.919381978645096751e+03
2.750000000000000000e+02,3.688969431014827569e+04
2.770000000000000000e+02,1.646707002636783727e+04
2.780000000000000000e+02,1.557622620837862996e+04
2.790000000000000000e+02,9.951945946632709820e+03
2.800000000000000000e+02,3.190598668707166144e+04
2.810000000000000000e+02,1.303579044921572131e+04
2.820000000000000000e+02,1.496104273013860256e+04
2.830000000000000000e+02,1.122772496299643717e+04
2.840000000000000000e+02,6.035191807154904382e+03
2.850000000000000000e+02,8.177139551729879167e+04
2.860000000000000000e+02,7.112533244338977966e+04
2.870000000000000000e+02,2.929711306052455257e+04
2.880000000000000000e+02,1.612792268444443107e+04
2.890000000000000000e+02,5.379168827918994066e+04
2.900000000000000000e+02,1.897963777977570135e+04
2.910000000000000000e+02,1.101265603628835379e+04
2.920000000000000000e+02,2.338443409166727361e+04
2.930000000000000000e+02,3.358670941684091667e+04
2.940000000000000000e+02,1.567857205819527917e+04
2.950000000000000000e+02,2.845582195128012972e+04
2.960000000000000000e+02,1.611725700191335818e+04
2.970000000000000000e+02,6.415682650735119751e+03
2.980000000000000000e+02,1.723549598885306114e+04
2.990000000000000000e+02,1.455815670256321901e+05
3.000000000000000000e+02,1.143257933239260819e+04
3.010000000000000000e+02,2.852542621740698451e+04
3.020000000000000000e+02,1.386506225505177281e+04
3.030000000000000000e+02,3.041555275480837008e+04
3.060000000000000000e+02,4.442896693177220868e+02
3.070000000000000000e+02,7.667050312461689828e+03
3.100000000000000000e+02,2.762142215022634900e+03
3.110000000000000000e+02,1.676272895506485656e+04
3.120000000000000000e+02,1.720607669180803350e+04
3.130000000000000000e+02,3.327210553071976756e+04
3.140000000000000000e+02,2.827400162024510064e+04
3.150000000000000000e+02,5.563506240476224775e+04
3.160000000000000000e+02,7.509244582728162641e+04
3.190000000000000000e+02,3.332572055758341776e+02
3.200000000000000000e+02,8.781048415658915474e+03
3.210000000000000000e+02,3.277105602615513635e+04
3.220000000000000000e+02,2.285331111711883204e+04
3.230000000000000000e+02,3.248656889036764915e+04
3.240000000000000000e+02,3.088341560990300059e+04
3.250000000000000000e+02,1.815646757008333225e+04
3.290000000000000000e+02,1.678232630065522972e+04
3.300000000000000000e+02,4.764722076482087868e+04
3.310000000000000000e+02,1.712547331394868525e+04
