tag-id,animal-id,animal-taxon,deploy-on-date,deploy-off-date,animal-birth-hatch-latitude,animal-birth-hatch-longitude,animal-comments,animal-death-comments,animal-exact-date-of-birth,animal-group-id,animal-latest-date-born,animal-life-stage,animal-marker-id,animal-mass,animal-mates,animal-mortality-latitude,animal-mortality-longitude,animal-mortality-type,animal-nickname,animal-offspring,animal-parents,animal-reproductive-condition,animal-ring-id,animal-sex,animal-siblings,animal-taxon-detail,attachment-type,behavior-according-to,capture-handling-time,capture-latitude,capture-longitude,capture-timestamp,data-processing-software,dba-comments,deploy-off-latitude,deploy-off-longitude,deploy-off-measurements,deploy-off-person,deploy-off-sampling,deploy-on-latitude,deploy-on-longitude,deploy-on-measurements,deploy-on-person,deploy-on-sampling,deployment-comments,deployment-end-comments,deployment-end-type,deployment-id,duty-cycle,geolocator-calibration,geolocator-light-threshold,geolocator-sensor-comments,geolocator-sun-elevation-angle,georeference-protocol,habitat-according-to,locality-according-to,location-accuracy-comments,manipulation-comments,manipulation-type,outlier-comments,study-site,tag-beacon-frequency,tag-comments,tag-failure-comments,tag-firmware,tag-manufacturer-name,tag-mass,tag-model,tag-processing-type,tag-production-date,tag-readout-method,tag-serial-no
2014CA-MK10-05790,2014CA-Bph-05790,Balaenoptera physalus,2014-08-11 17:04:00.000,2014-08-25 01:02:46.000,,,,,,,,adult,,,,,,,2014_5790,,,,,f,,,implant,,,,,,,,,,,,,33.9841,-118.9806,,,,,,,2014-05790,,,,,,,,,,,none,,,,,,,Wildlife Computers,,MK10 PAT,,,satellite,
2014CA-MK10-05838,2014CA-Bph-05838,Balaenoptera physalus,2014-08-11 22:23:00.000,2014-08-16 20:41:19.000,,,,,,,,adult,,,,,,,2014_5838,,,,,f,,,implant,,,,,,,,,,,,,33.9687,-118.9799,,,,,,,2014-05838,,,,,,,,,,,none,,,,,,,Wildlife Computers,,MK10 PAT,,,tag-retrieval,
2015CA-MK10-00838,2015CA-Bmu-00838,Balaenoptera musculus,2015-07-07 19:27:16.000,2015-08-02 17:51:30.000,,,,,,,,adult,,,,,,,2015_838,,,,,f,,,implant,,,,,,,,,,,,,34.04875,-119.1408,,,,,,,2015-00838,,,,,,,,,,,none,,,,,,,Wildlife Computers,,MK10 PAT,,,tag-retrieval,
2015CA-MK10-04177,2015CA-Bmu-04177,Balaenoptera musculus,2015-07-08 21:51:37.000,2015-08-05 02:14:18.000,,,,,,,,adult,,,,,,,2015_4177,,,,,m,,,implant,,,,,,,,,,,,,34.1113,-120.61992,,,,,,,2015-04177,,,,,,,,,,,none,,,,,,,Wildlife Computers,,MK10 PAT,,,tag-retrieval,
2015CA-MK10-05650,2015CA-Bmu-05650,Balaenoptera musculus,2015-07-08 22:06:48.000,2015-08-06 21:24:00.000,,,,,,,,adult,,,,,,,2015_5650,,,,,m,,,implant,,,,,,,,,,,,,34.11111,-120.62099,,,,,,,2015-05650,,,,,,,,,,,none,,,,,,,Wildlife Computers,,MK10 PAT,,,tag-retrieval,
2015CA-MK10-00840,2015CA-Bmu-00840,Balaenoptera musculus,2015-07-08 22:22:49.000,2015-08-02 17:13:24.000,,,,,,,,adult,,,,,,,2015_840,,,,, ,,,implant,,,,,,,,,,,,,34.10566,-120.61913,,,,,,,2015-00840,,,,,,,,,,,none,,,,,,,Wildlife Computers,,MK10 PAT,,,tag-retrieval,
2015CA-MK10-05644,2015CA-Bph-05644,Balaenoptera physalus,2015-07-10 20:45:00.000,2015-07-26 05:37:25.000,,,,,,,,adult,,,,,,,2015_5644,,,,, ,,,implant,,,,,,,,,,,,,34.08503,-120.59911,,,,,,,2015-05644,,,,,,,,,,,none,,,,,,,Wildlife Computers,,MK10 PAT,,,satellite,
2015CA-MK10-05654,2015CA-Bph-05654,Balaenoptera physalus,2015-07-17 17:54:00.000,2015-08-02 17:09:22.000,,,,,,,,adult,,,,,,,2015_5654,,,,, ,,,implant,,,,,,,,,,,,,34.12554,-120.61107,,,,,,,2015-05654,,,,,,,,,,,none,,,,,,,Wildlife Computers,,MK10 PAT,,,tag-retrieval,
2007ST15-23043,4523043,Balaenoptera,2003-09-05 00:00:00.000,2004-01-31 00:00:00.000,,,,,,,,,,,,,,,,,,,,,,,implant,,,,,,,,,,,,,34.14913,-119.9885,,,,,,,,,,,,,,,,,,,,,,,,,"Telonics, Inc",,ST-15,,,,514564
2011GoM-MK10-00840,2011GoM-Pma-05826,Physeter macrocephalus,2011-07-10 20:34:00.000,2011-07-23 17:40:25.000,,,,,,,,adult,,,,,,,,,,,, ,,,implant,,,,,,,,,,,,,28.36485,-89.10931,,,,,,,2011GoM-00840,,,,,,,,,,,none,,,,,,,Wildlife Computers,,MK10 PAT,,,satellite,
2011GoM-MK10-04177,2011GoM-Pma-00832,Physeter macrocephalus,2011-07-11 15:53:00.000,2011-08-15 11:04:12.000,,,,,,,,adult,,,,,,,,,,,, ,,,implant,,,,,,,,,,,,,28.3982,-89.10878,,,,,,,2011GoM-04177,,,,,,,,,,,none,,,,,,,Wildlife Computers,,MK10 PAT,,,satellite,
2011GoM-MK10-05640,2011GoM-Pma-05640,Physeter macrocephalus,2011-07-11 18:40:00.000,2011-07-29 15:39:44.000,,,,,,,,adult,,,,,,,,,,,, ,,,implant,,,,,,,,,,,,,28.41358,-89.06413,,,,,,,2011GoM-05640,,,,,,,,,,,none,,,,,,,Wildlife Computers,,MK10 PAT,,,satellite,
2011GoM-MK10-04173,2011GoM-Pma-00823,Physeter macrocephalus,2011-07-17 19:00:00.000,2011-08-28 02:57:38.000,,,,,,,,adult,,,,,,,,,,,,f,,,implant,,,,,,,,,,,,,28.47498,-88.63145,,,,,,,2011GoM-04173,,,,,,,,,,,none,,,,,,,Wildlife Computers,,MK10 PAT,,,satellite,
2011GoM-MK10-00838,2011GoM-Pma-00838,Physeter macrocephalus,2011-07-17 21:01:00.000,2011-08-07 10:48:05.000,,,,,,,,adult,,,,,,,,,,,, ,,,implant,,,,,,,,,,,,,28.46936,-88.59703,,,,,,,2011GoM-00838,,,,,,,,,,,none,,,,,,,Wildlife Computers,,MK10 PAT,,,satellite,
2011GoM-MK10-05654,2011GoM-Pma-05654,Physeter macrocephalus,2011-07-17 21:52:00.000,2011-08-21 02:28:51.000,,,,,,,,adult,,,,,,,,,,,, ,,,implant,,,,,,,,,,,,,28.44863,-88.56332,,,,,,,2011GoM-05654,,,,,,,,,,,none,,,,,,,Wildlife Computers,,MK10 PAT,,,satellite,
2011GoM-MK10-00833,2011GoM-Pma-00845,Physeter macrocephalus,2011-07-20 19:20:00.000,2011-08-15 02:17:29.000,,,,,,,,adult,,,,,,,,,,,, ,,,implant,,,,,,,,,,,,,28.54421,-88.02514,,,,,,,2011GoM-00833,,,,,,,,,,,none,,,,,,,Wildlife Computers,,MK10 PAT,,,satellite,
2011GoM-MK10-05685,2011GoM-Pma-05921,Physeter macrocephalus,2011-07-20 19:50:00.000,2011-08-18 04:35:15.000,,,,,,,,adult,,,,,,,,,,,,f,,,implant,,,,,,,,,,,,,28.53905,-88.02323,,,,,,,2011GoM-05685,,,,,,,,,,,none,,,,,,,Wildlife Computers,,MK10 PAT,,,satellite,
2011GoM-MK10-05644,2011GoM-Pma-05910,Physeter macrocephalus,2011-07-23 15:55:00.000,2011-08-22 13:07:24.000,,,,,,,,adult,,,,,,,,,,,,f,,,implant,,,,,,,,,,,,,28.55545,-88.81815,,,,,,,2011GoM-05644,,,,,,,,,,,none,,,,,,,Wildlife Computers,,MK10 PAT,,,satellite,
2011GoM-MK10-05701,2011GoM-Pma-05655,Physeter macrocephalus,2011-07-23 17:08:00.000,2011-08-17 03:22:30.000,,,,,,,,adult,,,,,,,,,,,,f,,,implant,,,,,,,,,,,,,28.55273,-88.80983,,,,,,,2011GoM-05701,,,,,,,,,,,none,,,,,,,Wildlife Computers,,MK10 PAT,,,satellite,
